@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'was_VBD best_JJS have_VBP ever_RB experienced_VBN','',positive
good_JJ,'',neutral
'tingling_VBG of_IN','',neutral
'almost_RB past_JJ','',neutral
'hate_VBP fucking_JJ','',negative
'just_RB came_VBD back_RB from_IN','',neutral
'had_VBD in_IN hanging_VBG out_RP with_IN and_CC','',positive
'thank_VB who_WP made_VBD feel_VBP at_IN','',positive
'😃_EMO love_VBP :_:',😃,positive
'best_JJS ,_, and_CC planned_VBD for_IN and_CC on_IN','',positive
'thank_VB so_RB much_RB for_IN who_WP came_VBD','',positive
'😃_EMO recieved_VBD many_JJ because_IN could_MD not_RB bring_VB much_RB on_IN back_RB and_CC cute_JJ and_CC',😃,positive
thank_VB,'',positive
'had_VBD wonderful_JJ yummy_JJ ,_, and_CC treats_VBZ','',positive
'brought_VBD cute_JJ new_JJ ,_,','',positive
'is_VBZ so_RB adorable_JJ','',positive
'played_VBD fun_JJ and_CC caught_VB up_RP on_IN old_JJ','',positive
'had_VBD thank_VB','',positive
'here_RB are_VBP','',neutral
thank_VB,'',positive
'miss_VBP so_RB much_RB and_CC can_MD not_RB wait_VB see_VB ,_, and_CC in_IN','',negative
'love_VBP yo_UH','',positive
'so_RB many_JJ about_IN who_WP re_VBP talking_VBG ,_, where_WRB re_VBP going_VBG ,_, what_WP doing_VBG','',negative
'just_RB have_VB send_VB \"_\'\' \"_\'\' and_CC puts_VBZ on_IN','',positive
'yet_RB know_VBP about_IN not_RB even_RB know_VBP ,_, and_CC does_VBZ not_RB','',neutral
'do_VBP not_RB care_VB how_WRB pretty_RB are_VBP or_CC what_WP wear_VBP','',neutral
'are_VBP amazing_JJ','',positive
'and_CC love_VBP','',positive
'is_VBZ falling_VBG apart_RB and_CC do_VBP not_RB mean_VB','',negative
'becoming_VBG broken_JJ and_CC now_RB that_IN have_VBP had_VBD counted_VBD of_IN drawn_VBN ,_, just_RB feel_VB like_IN compltely_RB useless_JJ','',negative
'started_VBD callin_VBG xd_UH fun_JJ','',positive
'want_VBP get_VB know_VB and_CC know_VB more_RBR about_IN','',neutral
'featured_VBD about_IN deep-fried_JJ few_JJ ago_RB ,_, which_WDT is_VBZ appaling_JJ enough_RB by_IN','',negative
'speaking_VBG of_IN deep-fried_JJ ,_, did_VBD know_VBP there_EX was_VBD in_IN where_WRB take_VBP ,_, wrap_VB in_IN ,_, and_CC then_RB deep-fry_JJ','',negative
'how_WRB awesome_JJ is_VBZ','',positive
'had_VBD lovely_JJ with_IN and_CC','',positive
'been_VBN seeing_VBG so_RB many_JJ good_JJ and_CC refilling_VBG','',positive
'visiting_VBG was_VBD like_IN warm_JJ','',positive
'is_VBZ also_RB making_VBG feel_VBP more_RBR happy_JJ than_IN feel_VBP at_IN','',positive
'oh_UH and_CC also_RB ,_, listening_VBG of_IN \"_\'\' \"_\'\' and_CC loving_VBG','',positive
'was_VBD awesome_JJ','',positive
'did_VBD of_IN','',neutral
'well_UH ,_, of_IN','',neutral
'was_VBD pretty_RB fast_RB ,_, but_CC was_VBD too_RB fast_JJ for_IN ,_, and_CC had_VBD blocked_VBD easy_JJ','',neutral
