"text","structure","emojis","emotion"
"justin trudeau has pledged to repeal harper’s two-tier citizenship law , bill c-24 . tt.token tt.token tt.token","NNP NNP VBZ VBN TO VB NNP JJ NN NN , NNP CD . HT HT HT","","3.5"
"knocked doors with the venerable tt.token tt.token candidate usr this aft in my hometown , aurora ! tt.token","VBD NNS IN DT JJ HT HT NN USR DT JJ IN PRP$ NN , NNP . HT","","3.5"
"canvassing for usr tt.token tt.token","VBG IN USR HT HT","","3.5"
"an npd gov't would institutionalize mediocrity tt.token tt.token","DT NNP NNP MD VB NN HT HT","","3.5"
"`` i think it's time for change `` - ana commit to vote : tt.token tt.token tt.token tt.token url","`` PRP VBP PRP NN IN NN `` : NNP VBZ TO VB : HT HT HT HT URL","","5.0"
"the past and future of the refugee crisis - thomas sowell tt.token tt.token url","DT JJ CC NNP IN DT NNP NNP : NNP NNP HT HT URL","","5.0"
"rdy to watch usr rock it tnight in the usr debate at usr café tt.token tt.token tt.token","NN TO VB USR VB PRP NN IN DT USR NN IN USR NNP HT HT HT","","5.0"
"can't wait to vote for usr and usr on october 19 . tt.token tt.token tt.token go usr","MD VB TO VB IN USR CC USR IN NNP CD . HT HT HT VB USR","","3.5"
"vote for ndp is vote for another harper . tt.token andrew thomson , mulcair's financial adviser url","NN IN NNP VBZ NN IN DT NNP . HT NNP NNP , VBZ JJ NN URL","","3.5"
"the end of the road and destined for the scrap heap tt.token tt.token tt.token tt.token","DT NN IN DT NN CC VBN IN DT NN NN HT HT HT HT","","2.0"
"? ? who is who and does what in the tt.token conservative war room ? tt.token tt.token tt.token url",". . WP VBZ WP CC VBZ WP IN DT HT JJ NN NN . HT HT HT URL","","-5.0"
"… this particular government – led by this particular pm – plays by a different set of rules . tt.token tt.token","UH DT NN NN : VBD IN DT NN NN : VBZ IN DT JJ NN IN NNS . HT HT","","-1.5"
"this year i'm voting alliance . tt.token","DT NN PRP VBG NNP . HT","","2.0"
"great am with riding neighbors usr & usr sharing our tt.token plan for tt.token ! tt.token tt.token","JJ NN IN VBG NNS USR CC USR VBG PRP$ HT NN IN HT . HT HT","","2.0"
"another good question for usr usr can you explain this to canadians ? tt.token tt.token tt.token","DT JJ NN IN USR USR MD PRP VBP DT TO NNP . HT HT HT","","2.0"
"laureen harper speaks at gathering hosted by mp rona ambrose this morning in stony plain , alta . tt.token usr","NNP NNP VBZ IN NN VBD IN NNP NNP NNP DT NN IN NNP NNP , NNP . HT USR","","2.0"
"ford fans launch website urging doug to run for harper’s job : tt.token tt.token tt.token url","NNP NNS NN NN VBG NNP TO VB IN NNP NN : HT HT HT URL","","5.0"
"tt.token on the way ! tt.token usr introduces usr our next pm ! tt.token tt.token","HT IN DT NN . HT USR VBZ USR PRP$ JJ NN . HT HT","","3.5"
"the ballot question in 2015 ? integrity matters . tt.token tt.token tt.token url","DT NN NN IN CD . NN VBZ . HT HT HT URL","","2.0"
"live in tt.token south centre riding ? i recommend looking into usr tt.token url usr","VB IN HT NNP NNP VBG . PRP VBP VBG IN USR HT URL USR","","5.0"
"and the `` other `` guy is just not ready ? 1-man-show ? tt.token tt.token tt.token tt.token tt.token tt.token","CC DT `` JJ `` NN VBZ RB RB JJ . CD . HT HT HT HT HT HT","","2.0"
