@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'this_DT was_VBD the_DT best_JJS summer_NN i_PRP have_VBP ever_RB experienced_VBN','',positive
'good_JJ night_NN friends_NNS !_.','',neutral
'the_DT tingling_VBG of_IN my_PRP$ fingers_NNS','',neutral
'almost_RB past_JJ the_DT tv_NN','',neutral
'i_PRP hate_VBP fucking_JJ pills_NNS','',negative
'i_PRP just_RB came_VBD back_RB yesterday_NN from_IN california_NNP','',neutral
'i_PRP had_VBD a_DT blast_NN in_IN california_NNP hanging_VBG out_RP with_IN my_PRP$ family_NN and_CC friends_NNS','',positive
'thank_VB you_PRP to_TO everyone_NN who_WP made_VBD me_PRP feel_VBP at_IN home_NN','',positive
'😃_EMO i_PRP love_VBP ya_PRP :_:',😃,positive
'my_PRP$ best_JJS friend_NN ,_, her_PRP$ grandma_NN doris_NNP and_CC my_PRP$ sisterfriend_NN planned_VBD a_DT surprise_NN baby_NN shower_NN for_IN me_PRP and_CC hailey_NNP on_IN saturday_NNP','',positive
'thank_VB you_PRP so_RB much_RB for_IN everyone_NN who_WP came_VBD','',positive
'😃_EMO hailey_NNP recieved_VBD many_JJ gift_NN cards_NN (_-LRB- because_IN i_PRP could_MD not_RB bring_VB that_DT much_RB on_IN the_DT plane_NN back_RB home_NN )_-RRB- and_CC cute_JJ baby_NN clothes_NNS and_CC toys_NNS !_.',😃,positive
'thank_VB you_PRP everyone_NN','',positive
'we_PRP had_VBD a_DT wonderful_JJ yummy_JJ cake_NN ,_, fruit_NN and_CC veggie_NN treats_VBZ','',positive
'my_PRP$ friend_NN misty_NNP brought_VBD her_PRP cute_JJ new_JJ baby_NN girl_NN ,_, jamie_NNP !_.','',positive
'she_PRP is_VBZ so_RB adorable_JJ !_.','',positive
'we_PRP played_VBD fun_JJ baby_NN games_NNS and_CC caught_VB up_RP on_IN some_DT old_JJ times_NNS','',positive
'i_PRP had_VBD a_DT blast_NN thank_VB you_PRP friend_NN !_. !_. !_.','',positive
'here_RB are_VBP some_DT pics_NNS !_. !_.','',neutral
'thank_VB you_PRP guys_NNS','',positive
'i_PRP miss_VBP you_PRP so_RB much_RB and_CC can_MD not_RB wait_VB to_TO see_VB ginny_NNP ,_, sister_NNP friend_NN and_CC my_PRP$ mom_NN in_IN a_DT couple_NN months_NNS !_. !_.','',negative
'love_VBP yo_UH','',positive
'so_RB many_JJ lies_NNS about_IN who_WP you_PRP re_VBP talking_VBG to_TO ,_, where_WRB you_PRP re_VBP going_VBG ,_, what_WP you_PRP re_NN doing_VBG','',negative
'the_DT people_NNS that_DT just_RB have_VB to_TO send_VB a_DT \"_\'\' hug_NN \"_\'\' and_CC it_PRP puts_VBZ a_DT smile_NN on_IN your_PRP$ face_NN','',positive
