@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'tomorrow ... i\'m on the air live at 9:05 on wjct radio . then on tv taping for good morning jacksonville at 10:30 . #excitingtimes','',positive
'have you heard about the epic new sci-fi adventure terra nova coming our way ? here\'s the 1st trailer ( feats dinosaurs ):','',neutral
'continued : emmanuel adebayor has not travelled with the squad for our europa league away tie in greece tomorrow evening .','',neutral
'ivanovic reaches kremlin quarters : ana ivanovic advanced to the quarter-finals of the kremlin cup on thursday by ...','',neutral
'today\'s #ff number 1 goes to usr because he\'s soo good at computers that steve jobs is worried about job security .','',positive
'\" ghost of mississippi \" the story of the ghost that tripped eli manning on 4th down that fateful autumn night in oxford . #30for30','',neutral
'manuel charr looks confident ahead of saturday clash vs . vitali klitschko : charr did not look scared as he stared ...','',positive
'i may go off the grid till 11/7 . \" christians \" keep driving me further from christianity . pregnancy after rape is science , not \" god\'s will . \"','',negative
'the 4th album is on it\'s way and we did not even get a tour for unbroken ... :( #australiawantsdemi - starting to think usr is not coming',:(,negative
'usr 2nd the ryan budget was from many years ago , most recent did not include that and mitt\'s said many times he\'s the president and ..','',neutral
'usr 3 months free espn given to anyone . got a letter through the post yesterday .','',neutral
'do not forget , tomorrow is the annual general body meeting ! come out to learn more about isat and the organizations we are affiliated with !','',neutral
'there are now only eight tickets left for usr \' s november 5th show at the leicester square theatre .. get in quick folks ! ! !','',neutral
'comedy central on point tonight .','',neutral
'if you thought the london riots were bad just wait til the mexico city riots break out once they get word lopez tonight got cancelled','',negative
'openstack is powering production clouds . in this general session at the 11th international cloud expo , nebula ce ...','',neutral
'anyone wanting roger sanchez tickets for v-club on the 19th of october get in touch i have coach and entry ...','',neutral
'today in hockey history - october 12th : on this day the toronto marlies of the american hockey league ( ahl ) play t ...','',neutral
'eagles lead by 27 points going into 4th qtr ( iffy 50metre penalty to help tigers ) . tigers still with a sniff . #afleaglestigers','',neutral
'playstation vita ordered . i should have it on tuesday and then lbpv the tuesday after that . :)',:),neutral
'looking forward to celebrity juice tonight .','',positive
'just realized it\'s nuit blanche the night before the run for the cure . i feel like i\'m in a stare down . who\'s gonna win ?','',neutral
'ca not wait to see my ravens beat the steelers tomorrow .','',positive
'emmanuel adebayor has held heart-2-heart talks with tottenham manager andre villas-boas over his unhappiness at a lack of 1s t-t eam football .','',negative
'edmonton\'s james murdoch and jay sparrow take their new collaboration to toronto\'s rivoli tonight , dakota tavern sat','',neutral
'let our nov . 6 vote be in andrew breitbart\'s name . let\'s show he did not die in vain ! a vote for romney = a vote for andrew','',positive
'really looking forward to the passion 4 pink event tomorrow night at medusa in brownsville . it\'s perfect for a ...','',positive
'be sure to attend the gcs career exploration fair on november 15th , from 4-7pm , at the greensboro coliseum special ...','',neutral
'mizzou links , 9-5-12 : holy smokes , it\'s wednesday already ? i have not even posted bill carter\'s sela photo gallery ...','',negative
'good morning . its definitely time 4 a new phone . alarm clock ringer isnt going off anymore . tryin 2 wait on steve jobs before i make a move','',positive
'bjp must clarify charges against gadkari : congress - the congress wednesday asked the bharatiya janata party ( bjp ) ...','',neutral
'echo : sex offender is warned he may face jail over offences #dorset','',negative
'boehner proposes obama speech be on the same night as nfl opening night ...','',neutral
'tottenham boss andre villas-boas has confirmed he has no plans to sell emmanuel adebayor in the january','',neutral
'don ; t forget to go the cvs tomorrow and get the viagara . we both know you need all the encouragement you can get ! ! ! dreams and visions boo :(',:(,neutral
'not to be overlooked by sandy , a summery mid-upper 70s with sunshine today in cny . record high of 79 set in buffalo . more warmth friday !','',neutral
'usr is it true lmfao are there tomorrow ? ?','',neutral
'usr on september 5th , the finder reaches italian tv ( with the worst title translation ever ) . finally ! ! ! :d #finder #risolutore #sky',:D,positive
'listening to kim soo hyun\'s ost for moon-sun and thinking about how i\'m gonna see his beautiful face on the big screen tomorrow :d',:D,positive
'25 yrs ago , blessed pope john paul ii visited the archdiocese of detroit -- the 1st papal visit to mi in history .','',positive
'i think i may know the story of the party nail . salina gomez jammed her finger the night before the grammy awards . i rock a party toe today !','',neutral
'downloading different versions of the greek alphabet song to listen to on repeat on a thursday night .. this is my life now ..','',neutral
'jennifer aniston & drew barrymore : fill in the blank ! : at the 2012 lacma art + film gala on sat ... #hollywood #news','',neutral
'looks like bj\'s skate center is the place to be in st joe on a friday night !','',neutral
'watching david letterman with no audience but playing like they are still there is the 2nd most brilliant thing i\'ve seen tonight .','',positive
'happy birthday nick j may you live long and happy :)',:),positive
'new poster for our usr gig at st david\'s hall in april with ruthie henshall and usr','',neutral
'sungkyunkwan scandal on abs-cbn .. i just finished the series yesterday .. :))))) i may sound like a spoiler now < evil laugh >','',neutral
'not too late to come down to our monday night open mic to sing or just have a good time ! iguana 240 w 54 st. will be here till 9 pm','',positive
'big game for usr tomorrow , away vs the knicks at msg . personally think knicks will win ... first game , msg crowd , sandy disaster ...','',positive
'stayed up too late to watch the 1st ep of sons of anarchy . new favourite show ! #sonsofanarchy','',positive
'usr nice to meet you ! best wishes from guatemala ! il divo will be here in concert for the 1st time ever on the 28th ! i\'m going ! :d',:D,positive
'usr rt why does steve jobs hate you your link … \" cars perform \" my best friend\'s girl \" needs flash to play','',negative
'i think it got eaten by a grue . - pc friday - diablo iii ( ptr patch 1.05 ) | : …','',neutral
'as some of you may know , we have a fish tank & this little guy is named jeff carter . sadly , i think he\'s dying','',negative
'summerslam preview coming fri . only 4 announced matches even tho there will be 7 or 8 . very odd . will make for brief preview !','',neutral
'just pre-ordered the droid bionic . pick up from the verizon store next friday ! :-) (@ brevard nc )',:-),positive
'if cundiff would\'ve made the field goal sunday , i could\'ve been eatin \' a free 6in sub at subway for lunch !','',neutral
